attribute_set,available_for,name,theme_bg,allerretour,category_ids,depart,destination,price,websites,sku,typebillet,theme_color,description,short_description,image,status,store,visibility
barcodeticket,Children,Billet St-Irénée - Baie-St-Paul Aller simple-65 ans et +,malbspreg,Aller simple,3,St-Irénée,Baie-St-Paul, 20.00  $ ,base,navstibspregall-6599,Navette,0,Billet St-Irénée - Baie-St-Paul Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet St-Irénée - Baie-St-Paul Aller simple-18 à 25 ans,malbspreg,Aller simple,3,St-Irénée,Baie-St-Paul, 17.40  $ ,base,navstibspregall-1825,Navette,0,Billet St-Irénée - Baie-St-Paul Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet St-Irénée - Baie-St-Paul Aller simple-7 à 17 ans,malbspreg,Aller simple,3,St-Irénée,Baie-St-Paul, 11.31  $ ,base,navstibspregall-0717,Navette,0,Billet St-Irénée - Baie-St-Paul Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - St-Irénée Aller simple-26 à 64 ans,malbspreg,Aller simple,3,La Malbaie,St-Irénée, 15.66  $ ,base,navmalstiregall-2664,Navette,0,Billet La Malbaie - St-Irénée Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - St-Irénée Aller simple-65 ans et +,malbspreg,Aller simple,3,La Malbaie,St-Irénée, 13.92  $ ,base,navmalstiregall-6599,Navette,0,Billet La Malbaie - St-Irénée Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - St-Irénée Aller simple-18 à 25 ans,malbspreg,Aller simple,3,La Malbaie,St-Irénée, 12.18  $ ,base,navmalstiregall-1825,Navette,0,Billet La Malbaie - St-Irénée Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - St-Irénée Aller simple-7 à 17 ans,malbspreg,Aller simple,3,La Malbaie,St-Irénée, 7.83  $ ,base,navmalstiregall-0717,Navette,0,Billet La Malbaie - St-Irénée Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - Les Éboulements Aller simple-26 à 64 ans,malbspreg,Aller simple,3,La Malbaie,Les Éboulements, 21.74  $ ,base,navmalsjoregall-2664,Navette,0,Billet La Malbaie - Les Éboulements Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - Les Éboulements Aller simple-65 ans et +,malbspreg,Aller simple,3,La Malbaie,Les Éboulements, 20.00  $ ,base,navmalsjoregall-6599,Navette,0,Billet La Malbaie - Les Éboulements Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - Les Éboulements Aller simple-18 à 25 ans,malbspreg,Aller simple,3,La Malbaie,Les Éboulements, 17.40  $ ,base,navmalsjoregall-1825,Navette,0,Billet La Malbaie - Les Éboulements Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
